state_name,rep20,dem20,tot20,rep24,dem24,tot24,rep_share20,dem_share20,rep_margin20,rep_share24,dem_share24,rep_margin24,rep_shift
New Jersey,1883274,2608335,4564234,1968215,2220713,4272725,0.41261556703709756,0.5714726720847354,-0.15885710504763784,0.4606463088544196,0.5197416168838388,-0.0590953080294192,0.09976179701821863
New Mexico,401894,501614,923965,423391,478802,923403,0.43496669246129455,0.5428928584957222,-0.10792616603442767,0.4585116141056505,0.5185189998299767,-0.060007385724326234,0.04791878031010144
New York,3250230,5244006,8616205,3578899,4619195,8198094,0.37722291890687376,0.6086213129794381,-0.23139839407256435,0.4365525694143053,0.5634474305856947,-0.12689486117138937,0.10450353290117498
North Carolina,2758773,2684292,5524801,2898423,2715375,5679647,0.4993434152650928,0.48586220571564476,0.013481209549448037,0.5103174545882869,0.47808869107534324,0.03222876351294368,0.018747553963495645
North Dakota,235595,114902,361819,246505,112327,365059,0.6511404873707572,0.31756762359080093,0.3335728637799563,0.6752470148660902,0.30769546840373746,0.3675515464623527,0.0339786826823964
Ohio,3154834,2679165,5922202,3180116,2533699,5765017,0.5327130010087464,0.45239338340705026,0.08031961760169615,0.5516230047543659,0.43949549498292895,0.11212750977143693,0.03180789216974078
Oklahoma,1020280,503890,1560699,1036213,499599,1566173,0.6537327184806295,0.32286174335986634,0.3308709751207632,0.6616210342024795,0.3189934956099997,0.34262753859247985,0.011756563471716663
Oregon,958448,1340383,2374321,910702,1228410,2207592,0.4036724604634335,0.5645331865404888,-0.16086072607705526,0.4125318446524539,0.5564479305958709,-0.14391608594341704,0.016944640133638222
Pennsylvania,3378263,3459923,6925255,3543308,3423042,7034206,0.487817849306632,0.4996094728641761,-0.011791623557544095,0.5037253671558666,0.4866280572391539,0.017097309916712655,0.02888893347425675
Rhode Island,199837,306210,516383,214406,285156,510659,0.386993762381798,0.5929900868154064,-0.20599632443360844,0.4198613947859531,0.5584078612146266,-0.13854646642867352,0.06744985800493492
South Carolina,1385103,1091541,2513329,1483747,1028452,2548140,0.5511029395674024,0.43430088142061785,0.11680205814678457,0.5822862951015251,0.40360890688894646,0.17867738821257861,0.06187533006579404
South Dakota,261043,150471,422609,272081,146859,428922,0.6176938967225024,0.3560525213613529,0.2616413753611495,0.6343367791812964,0.34239092422398476,0.2919458549573116,0.030304479596162115
Tennessee,1852475,1143711,3053851,1966865,1056265,3063942,0.6066029416628381,0.37451434271023704,0.2320885989526011,0.6419393709149847,0.3447405336001791,0.29719883731480556,0.06511023836220448
Texas,5890347,5259126,11317911,6393597,4835250,11380105,0.5204447181109659,0.4646728534974343,0.05577186461353162,0.5618223206200645,0.4248862378686313,0.13693608275143326,0.08116421813790164
Utah,865140,560282,1488289,883818,562566,1487951,0.5812983902991959,0.37646048583306063,0.2048379044661353,0.5939832696103567,0.3780809986350357,0.21590227097532105,0.011064366509185741
Vermont,112704,242820,367428,119395,235791,366389,0.3067376465593259,0.6608641693066397,-0.3541265227473138,0.3258694993572405,0.6435537093089585,-0.317684209951718,0.036442312795595844
Virginia,1962430,2413568,4460524,2075085,2335395,4482576,0.4399550366728214,0.5410951717780242,-0.10114013510520287,0.4629224356709178,0.520993955261439,-0.0580715195905212,0.04306861551468166
Washington,1584651,2369612,4087631,1530923,2245849,3898835,0.3876697774334327,0.5797030113530306,-0.19203323391959787,0.3926616540581994,0.5760307886843121,-0.1833691346261127,0.008664099293485161
West Virginia,545382,235984,794652,533556,214309,762390,0.6863155192461606,0.29696521244519614,0.3893503068009645,0.6998465352378703,0.28110153595928594,0.4187449992785844,0.029394692477619888
Wisconsin,1610065,1630673,3297352,1697626,1668229,3415213,0.488290300823206,0.4945401643500603,-0.006249863526854305,0.4970776346892566,0.4884699724438856,0.008607662245370962,0.014857525772225266
Wyoming,193559,73491,276765,192633,69527,266353,0.6993622748541181,0.26553574332014523,0.4338265315339728,0.7232244427507856,0.26103329040784223,0.46219115234294333,0.02836462080897051
