state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alaska,State House District 4,2691,6161,8852,-3470,0.30399909624943516,0.6960009037505649,-0.3920018075011298
Alaska,State House District 5,4351,3328,7679,1023,0.5666102357077745,0.43338976429222553,0.13322047141554894
Alaska,State House District 6,6705,4773,11478,1932,0.5841610036591741,0.41583899634082594,0.16832200731834818
Alaska,State House District 7,6777,2513,9290,4264,0.7294940796555436,0.2705059203444564,0.4589881593110872
Alaska,State House District 8,7950,2576,10526,5374,0.7552726581797454,0.2447273418202546,0.5105453163594909
Alaska,State House District 9,5581,5849,11430,-268,0.4882764654418198,0.5117235345581802,-0.02344706911636041
Alaska,State House District 10,4357,4070,8427,287,0.5170285985522725,0.48297140144772754,0.03405719710454491
Alaska,State House District 11,4864,4633,9497,231,0.5121617352848268,0.4878382647151732,0.02432347056965356
Alaska,State House District 12,4059,4169,8228,-110,0.49331550802139035,0.5066844919786097,-0.0133689839572193
Alaska,State House District 13,3589,3682,7271,-93,0.49360473112364184,0.5063952688763581,-0.01279053775271626
Alaska,State House District 14,2768,4346,7114,-1578,0.3890919314028676,0.6109080685971324,-0.22181613719426485
Alaska,State House District 15,4594,4364,8958,230,0.5128376869837017,0.48716231301629825,0.02567537396740343
Alaska,State House District 16,3929,5344,9273,-1415,0.42370322441496816,0.5762967755850318,-0.15259355117006362
Alaska,State House District 17,2407,4990,7397,-2583,0.3254021900770583,0.6745978099229417,-0.34919561984588343
Alaska,State House District 18,2686,1928,4614,758,0.5821413090593844,0.4178586909406155,0.16428261811876893
Alaska,State House District 19,1971,2825,4796,-854,0.4109674728940784,0.5890325271059216,-0.17806505421184315
Alaska,State House District 20,3041,3924,6965,-883,0.4366116295764537,0.5633883704235463,-0.12677674084709256
Alaska,State House District 21,3984,4711,8695,-727,0.4581943645773433,0.5418056354226567,-0.08361127084531339
Alaska,State House District 22,2594,2660,5254,-66,0.49371907118385994,0.5062809288161401,-0.01256185763228012
Alaska,State House District 23,6101,4116,10217,1985,0.5971420182049525,0.40285798179504745,0.19428403640990505
Alaska,State House District 24,6482,3234,9716,3248,0.6671469740634006,0.33285302593659943,0.3342939481268012
Alaska,State House District 25,6891,3172,10063,3719,0.6847858491503528,0.3152141508496472,0.3695716983007056
Alaska,State House District 26,7143,2013,9156,5130,0.7801441677588467,0.21985583224115335,0.5602883355176933
